client_id;montant_moyen;derniere_transaction;nb_transactions_mois;derniere_transaction_jour;cluster_name;cluster
5161644;9395;2025-08-17;26;16;Petits mais actifs (faible montant, très actifs);12
5161659;33834;2025-07-24;8;40;Moyen montant / moyen activité / ancien;8
5161730;15000;2025-08-07;1;26;Faible montant / faible activité / intermédiaire;0
5161834;25791;2025-07-30;7;34;Moyen montant / moyen activité / ancien;8
5161835;86211;2025-08-15;10;18;VIP (montant élevé, très actifs, récents);14
5161844;73972;2025-07-30;3;34;Premium dormants (haut montant, peu actifs, anciens);13
5161857;11900;2025-06-25;1;69;À réactiver (petit montant, anciens);15
5161912;40500;2025-08-07;4;26;Moyen montant / moyen activité / intermédiaire;9
5161920;53441;2025-08-09;11;24;Fidèles réguliers (activité élevée, montant moyen);4
5161941;13589;2025-08-18;22;15;Petits mais actifs (faible montant, très actifs);12
5161958;500;2025-07-31;1;33;Faible montant / faible activité / intermédiaire;0
5161998;65383;2025-08-15;12;18;VIP (montant élevé, très actifs, récents);14
5162024;1833;2025-08-04;3;29;Faible montant / faible activité / intermédiaire;0
5162193;16572;2025-08-11;2;22;Faible montant / faible activité / récent;1
5162226;30000;2025-07-03;1;61;Moyen montant / faible activité / ancien;5
5162232;107500;2025-08-05;2;28;Élevé montant / faible activité / intermédiaire;16
5162248;5000;2025-07-30;2;34;À réactiver (petit montant, anciens);15
5162301;5408;2025-08-18;17;15;Petits mais actifs (faible montant, très actifs);12
5162353;17533;2025-08-06;6;27;Faible montant / moyen activité / intermédiaire;2
5162382;48660;2025-07-03;6;61;Moyen montant / moyen activité / ancien;8
5162388;50000;2025-06-25;1;69;Moyen montant / faible activité / ancien;5
5162401;1000;2025-08-06;1;27;Faible montant / faible activité / intermédiaire;0
5162513;65658;2025-08-18;20;15;VIP (montant élevé, très actifs, récents);14
5162526;8750;2025-07-29;4;35;À réactiver (petit montant, anciens);15
5162552;13378;2025-08-15;16;18;Petits mais actifs (faible montant, très actifs);12
5162591;1367;2025-08-10;3;23;Faible montant / faible activité / intermédiaire;0
5162629;10250;2025-08-11;2;22;Faible montant / faible activité / récent;1
5162642;133500;2025-08-05;2;28;Élevé montant / faible activité / intermédiaire;16
5162682;37752;2025-07-30;2;34;Moyen montant / faible activité / ancien;5
5162713;44000;2025-08-05;5;28;Moyen montant / moyen activité / intermédiaire;9
5162779;10000;2025-07-10;1;54;À réactiver (petit montant, anciens);15
5162792;30150;2025-08-17;2;16;Moyen montant / faible activité / récent;7
5162839;37500;2025-08-05;1;28;Moyen montant / faible activité / intermédiaire;6
5162911;7212;2025-08-12;17;21;Petits mais actifs (faible montant, très actifs);12
5162936;4320;2025-08-15;31;18;Petits mais actifs (faible montant, très actifs);12
5162943;66114;2025-08-05;6;28;Élevé montant / moyen activité / intermédiaire;19
5163001;9124;2025-07-14;4;50;À réactiver (petit montant, anciens);15
5163002;10475;2025-08-11;2;22;Faible montant / faible activité / récent;1
5163026;30274;2025-08-18;9;15;Moyen montant / moyen activité / récent;10
5163039;83500;2025-08-08;2;25;Élevé montant / faible activité / intermédiaire;16
5163119;16333;2025-08-11;3;22;Faible montant / faible activité / récent;1
5163147;20380;2025-08-14;20;19;Petits mais actifs (faible montant, très actifs);12
5163172;17632;2025-08-17;93;16;Petits mais actifs (faible montant, très actifs);12
5163204;51500;2025-08-05;2;28;Moyen montant / faible activité / intermédiaire;6
5163207;6907;2025-07-31;7;33;Faible montant / moyen activité / intermédiaire;2
5163248;95500;2025-08-05;2;28;Élevé montant / faible activité / intermédiaire;16
5163273;13279;2025-08-16;17;17;Petits mais actifs (faible montant, très actifs);12
5163283;24422;2025-07-03;41;61;Moyen montant / élevé activité / ancien;11
5163319;14944;2025-08-18;59;15;Petits mais actifs (faible montant, très actifs);12
5163330;31109;2025-08-16;10;17;Fidèles réguliers (activité élevée, montant moyen);4
5163334;500;2025-07-31;1;33;Faible montant / faible activité / intermédiaire;0
5163347;2875;2025-08-11;4;22;Faible montant / moyen activité / récent;3
5163356;94000;2025-08-08;1;25;Élevé montant / faible activité / intermédiaire;16
5163397;1500;2025-07-27;2;37;À réactiver (petit montant, anciens);15
5163471;25500;2025-08-16;2;17;Moyen montant / faible activité / récent;7
5163478;42000;2025-07-26;1;38;Moyen montant / faible activité / ancien;5
5163497;7929;2025-08-12;49;21;Petits mais actifs (faible montant, très actifs);12
5163509;20000;2025-08-05;2;28;Faible montant / faible activité / intermédiaire;0
5163512;10030;2025-08-04;5;29;Faible montant / moyen activité / intermédiaire;2
5163557;44682;2025-07-28;22;36;Moyen montant / élevé activité / ancien;11
5163594;7625;2025-08-11;4;22;Faible montant / moyen activité / récent;3
5163599;63313;2025-08-12;5;21;Élevé montant / moyen activité / récent;20
5163682;8088;2025-07-28;17;36;Petits mais actifs (faible montant, très actifs);12
5163707;11933;2025-08-11;3;22;Faible montant / faible activité / récent;1
5163708;29195;2025-08-18;21;15;Fidèles réguliers (activité élevée, montant moyen);4
5163709;5000;2025-07-10;2;54;À réactiver (petit montant, anciens);15
5163724;22667;2025-08-11;3;22;Faible montant / faible activité / récent;1
5163729;11362;2025-08-12;8;21;Faible montant / moyen activité / récent;3
5163916;9092;2025-08-03;61;30;Petits mais actifs (faible montant, très actifs);12
5163989;2571;2025-08-07;127;26;Petits mais actifs (faible montant, très actifs);12
5164038;39596;2025-07-30;5;34;Moyen montant / moyen activité / ancien;8
5164045;8194;2025-08-08;34;25;Petits mais actifs (faible montant, très actifs);12
5164218;18500;2025-08-13;4;20;Faible montant / moyen activité / récent;3
5164252;83250;2025-07-07;2;57;Premium dormants (haut montant, peu actifs, anciens);13
5164377;94100;2025-07-31;1;33;Élevé montant / faible activité / intermédiaire;16
5164448;8528;2025-08-14;12;19;Petits mais actifs (faible montant, très actifs);12
5164466;12112;2025-07-03;6;61;À réactiver (petit montant, anciens);15
5164499;29772;2025-07-25;6;39;Moyen montant / moyen activité / ancien;8
5164510;3711;2025-08-18;13;15;Petits mais actifs (faible montant, très actifs);12
5164518;26250;2025-07-17;4;47;Moyen montant / moyen activité / ancien;8
5164563;24082;2025-07-30;4;34;Moyen montant / moyen activité / ancien;8
5164565;17368;2025-08-14;14;19;Petits mais actifs (faible montant, très actifs);12
5164700;200667;2025-08-17;3;16;Élevé montant / faible activité / récent;17
5164724;43571;2025-08-18;14;15;Fidèles réguliers (activité élevée, montant moyen);4
5164737;3333;2025-08-12;6;21;Faible montant / moyen activité / récent;3
5164797;33168;2025-08-17;27;16;Fidèles réguliers (activité élevée, montant moyen);4
5164800;36667;2025-08-11;3;22;Moyen montant / faible activité / récent;7
5164810;17250;2025-08-11;2;22;Faible montant / faible activité / récent;1
5164819;9000;2025-08-09;4;24;Faible montant / moyen activité / intermédiaire;2
5164828;13000;2025-07-24;1;40;À réactiver (petit montant, anciens);15
5164847;31500;2025-08-05;4;28;Moyen montant / moyen activité / intermédiaire;9
5164875;75000;2025-08-14;2;19;Élevé montant / faible activité / récent;17
5164919;22282;2025-06-23;5;71;À réactiver (petit montant, anciens);15
5164925;12000;2025-07-30;3;34;À réactiver (petit montant, anciens);15
5164926;30524;2025-07-29;4;35;Moyen montant / moyen activité / ancien;8
5164944;38500;2025-07-20;7;44;Moyen montant / moyen activité / ancien;8
5164977;13501;2025-08-04;4;29;Faible montant / moyen activité / intermédiaire;2
5165002;34543;2025-08-12;3;21;Moyen montant / faible activité / récent;7
5165030;53200;2025-08-07;2;26;Moyen montant / faible activité / intermédiaire;6
5165045;19000;2025-08-10;1;23;Faible montant / faible activité / intermédiaire;0
5165057;13000;2025-08-02;2;31;Faible montant / faible activité / intermédiaire;0
5165097;70000;2025-08-02;2;31;Élevé montant / faible activité / intermédiaire;16
5165138;35000;2025-08-05;3;28;Moyen montant / faible activité / intermédiaire;6
5165240;15700;2025-08-11;4;22;Faible montant / moyen activité / récent;3
5165252;3757;2025-08-03;14;30;Petits mais actifs (faible montant, très actifs);12
5165259;21607;2025-08-18;39;15;Petits mais actifs (faible montant, très actifs);12
5165268;71594;2025-08-18;14;15;VIP (montant élevé, très actifs, récents);14
5165275;37686;2025-08-07;17;26;Fidèles réguliers (activité élevée, montant moyen);4
5165296;10041;2025-08-09;34;24;Petits mais actifs (faible montant, très actifs);12
5165331;17787;2025-08-10;10;23;Petits mais actifs (faible montant, très actifs);12
5165439;26356;2025-07-16;8;48;Moyen montant / moyen activité / ancien;8
5165473;24500;2025-07-11;2;53;Moyen montant / faible activité / ancien;5
5165476;72479;2025-07-31;4;33;Élevé montant / moyen activité / intermédiaire;19
5165559;11142;2025-08-18;88;15;Petits mais actifs (faible montant, très actifs);12
5165611;40000;2025-06-18;1;76;Moyen montant / faible activité / ancien;5
5165646;1000;2025-07-09;1;55;À réactiver (petit montant, anciens);15
5165647;56478;2025-08-05;4;28;Moyen montant / moyen activité / intermédiaire;9
5165664;8384;2025-08-09;4;24;Faible montant / moyen activité / intermédiaire;2
5165665;140000;2025-07-09;1;55;Premium dormants (haut montant, peu actifs, anciens);13
5165754;7206;2025-08-15;30;18;Petits mais actifs (faible montant, très actifs);12
5165803;6500;2025-08-11;2;22;Faible montant / faible activité / récent;1
5165826;51000;2025-08-08;2;25;Moyen montant / faible activité / intermédiaire;6
5165851;34550;2025-07-27;4;37;Moyen montant / moyen activité / ancien;8
5165859;12442;2025-08-13;10;20;Petits mais actifs (faible montant, très actifs);12
5165884;55243;2025-08-13;7;20;Moyen montant / moyen activité / récent;10
5165938;14874;2025-08-18;20;15;Petits mais actifs (faible montant, très actifs);12
5165939;75950;2025-07-29;3;35;Premium dormants (haut montant, peu actifs, anciens);13
5165998;43770;2025-07-11;3;53;Moyen montant / faible activité / ancien;5
5166004;30300;2025-07-04;1;60;Moyen montant / faible activité / ancien;5
5166008;50163;2025-07-23;3;41;Moyen montant / faible activité / ancien;5
5166009;13323;2025-07-29;32;35;Petits mais actifs (faible montant, très actifs);12
5166025;13480;2025-08-16;21;17;Petits mais actifs (faible montant, très actifs);12
5166026;56670;2025-08-06;4;27;Moyen montant / moyen activité / intermédiaire;9
5166030;31583;2025-07-10;3;54;Moyen montant / faible activité / ancien;5
5166058;112538;2025-08-08;13;25;VIP (montant élevé, très actifs, récents);14
5166151;22500;2025-07-25;2;39;À réactiver (petit montant, anciens);15
5166157;50450;2025-08-05;2;28;Moyen montant / faible activité / intermédiaire;6
5166158;14200;2025-08-18;6;15;Faible montant / moyen activité / récent;3
5166224;100000;2025-08-10;2;23;Élevé montant / faible activité / intermédiaire;16
5166240;40000;2025-08-07;1;26;Moyen montant / faible activité / intermédiaire;6
5166284;49982;2025-08-05;4;28;Moyen montant / moyen activité / intermédiaire;9
