societaire,montant_moyen,nb_transactions_mois,dernière_transaction,dernière_transaction_jour
25086,83333.33333333333,3,2025-07-01,59
25092,140000.0,1,2025-07-02,58
25274,175000.0,4,2025-07-11,49
25306,2000.0,1,2025-06-28,62
25427,6371.666666666667,18,2025-08-13,16
25444,32000.0,1,2025-08-16,13
25458,160500.0,2,2025-07-28,32
25462,85350.0,2,2025-07-03,57
25518,129500.0,2,2025-07-26,34
25523,95250.0,3,2025-08-08,21
25564,77900.0,3,2025-08-07,22
25586,24661.808510638297,47,2025-08-18,11
25647,157197.14285714287,7,2025-07-30,30
25742,75000.0,1,2025-07-28,32
25743,39492.5,4,2025-08-05,24
25754,3100.0,5,2025-08-17,12
25767,137648.57142857142,7,2025-07-29,31
25781,78500.0,3,2025-07-28,32
25785,129708.33333333333,6,2025-08-11,18
25855,76666.66666666667,3,2025-08-01,28
25935,33000.0,1,2025-08-05,24
25941,53500.0,10,2025-08-06,23
25957,92274.28571428571,7,2025-08-15,14
25960,34480.0,5,2025-08-04,25
25978,164000.0,2,2025-08-18,11
26018,85013.33333333333,6,2025-08-18,11
26029,3000.0,2,2025-08-17,12
26034,135000.0,2,2025-08-05,24
26053,75121.25,4,2025-08-02,27
26078,80286.5,2,2025-08-05,24
26148,43000.0,1,2025-08-05,24
26153,52645.0,4,2025-08-07,22
26185,99006.66666666667,6,2025-08-15,14
26295,78422.72727272728,11,2025-07-28,32
26322,24333.333333333332,12,2025-08-06,23
26336,32166.666666666668,6,2025-06-20,70
26528,49045.0,5,2025-08-05,24
26543,23333.333333333332,3,2025-08-16,13
26605,191500.0,2,2025-07-27,33
26625,47750.0,4,2025-08-05,24
26635,97666.66666666667,15,2025-08-12,17
26640,6901.666666666667,3,2025-06-18,72
26742,16441.428571428572,28,2025-08-14,15
26773,10625.0,4,2025-08-09,20
26790,25128.571428571428,7,2025-08-06,23
26810,167660.0,5,2025-07-29,31
26874,24583.114285714284,35,2025-08-18,11
26949,200000.0,7,2025-08-06,23
27040,74480.0,16,2025-07-24,36
27067,28350.0,12,2025-08-18,11
27176,165700.0,2,2025-08-05,24
27209,30161.470588235294,34,2025-08-04,25
27211,52699.13043478261,23,2025-08-16,13
27212,136350.0,3,2025-07-29,31
27216,8080.0,1,2025-07-30,30
27227,10100.0,1,2025-07-31,29
27230,40368.75,8,2025-07-29,31
27238,30000.0,1,2025-07-16,44
27279,43750.0,2,2025-07-12,48
27286,97608.33333333333,6,2025-08-04,25
27301,4500.0,7,2025-08-18,11
27310,19006.57894736842,38,2025-08-17,12
27355,110000.0,1,2025-08-08,21
27406,66900.0,1,2025-07-16,44
27442,4585.0,3,2025-08-15,14
27488,71666.66666666667,3,2025-08-03,26
27572,1000.0,1,2025-06-17,73
27629,115233.33333333333,3,2025-08-10,19
27700,55000.0,2,2025-07-20,40
27750,77230.0,4,2025-07-26,34
27763,55477.77777777778,9,2025-08-10,19
27785,15666.666666666666,3,2025-08-06,23
28021,18863.75,32,2025-08-11,18
28022,68670.0,3,2025-07-28,32
28097,18821.75,12,2025-08-04,25
28175,67170.0,6,2025-08-16,13
28191,37328.57142857143,14,2025-07-26,34
28216,36150.0,6,2025-08-11,18
28286,49491.666666666664,6,2025-08-08,21
28303,15986.666666666666,27,2025-08-18,11
28349,175000.0,3,2025-08-03,26
28361,28003.333333333332,3,2025-08-06,23
28362,113750.0,4,2025-07-29,31
28389,26218.478260869564,23,2025-08-17,12
28470,57000.0,9,2025-08-14,15
28574,6750.0,8,2025-08-09,20
28606,129500.0,2,2025-07-28,32
28637,15337.35294117647,17,2025-08-14,15
28646,27808.75,4,2025-07-23,37
28781,107700.0,4,2025-08-06,23
28790,505.0,1,2025-06-26,64
28845,7500.0,2,2025-08-05,24
28880,47701.23529411765,17,2025-08-16,13
28881,76558.33333333333,6,2025-08-02,27
28884,88000.0,5,2025-08-18,11
28890,13878.0,5,2025-08-10,19
28900,56530.71428571428,7,2025-08-18,11
28924,51390.0,5,2025-08-13,16
28932,13855.0,3,2025-07-06,54
28970,86544.73684210527,19,2025-08-11,18
29017,135000.0,1,2025-08-06,23
29070,10382.439024390244,41,2025-08-12,17
29080,41878.1,50,2025-08-18,11
29089,2500.0,2,2025-07-15,45
29091,105092.85714285714,7,2025-08-08,21
29123,200000.0,1,2025-08-01,28
29200,133460.0,15,2025-08-10,19
29203,91628.57142857143,14,2025-08-12,17
29215,10607.659574468085,47,2025-08-18,11
29322,142420.0,4,2025-08-11,18
29444,75000.0,2,2025-08-09,20
29475,121800.0,5,2025-08-05,24
29505,25333.333333333332,3,2025-08-06,23
29517,38750.0,2,2025-08-05,24
29563,100000.0,2,2025-08-01,28
29592,200000.0,1,2025-07-30,30
29604,120166.66666666667,3,2025-08-07,22
29606,20000.0,2,2025-07-09,51
29623,29900.0,10,2025-08-15,14
29659,3000.0,2,2025-08-11,18
29705,88000.0,2,2025-08-05,24
29730,120452.5,4,2025-07-29,31
29752,11750.0,4,2025-07-24,36
29755,6561.339393939394,165,2025-08-17,12
29777,105025.0,4,2025-08-12,17
29786,33542.0,5,2025-08-10,19
29787,15324.081632653062,49,2025-08-15,14
29803,28280.0,2,2025-08-04,25
29807,61333.333333333336,3,2025-08-05,24
29869,25050.0,2,2025-08-12,17
29895,86525.0,5,2025-07-27,33
29914,62990.90909090909,11,2025-08-02,27
